case_id	category	scenario	fov_deg	n_pieces	native_efl_mm	native_fnum	direction	target_f_number	source_zmx	rationale
US-12443014-B2-e1	tele	smartphone-telephoto	15.800	5	17.3271	2.800	loosen	3.800	US-12443014-B2-e1.zmx	15.8° 窄视场长焦（EFL~17.3mm），native F/2.8 中庸，低 TIR 风险方向对照。
US-12443014-B2-e1	tele	smartphone-telephoto	15.800	5	17.3271	2.800	loosen	4.000	US-12443014-B2-e1.zmx	15.8° 窄视场长焦（EFL~17.3mm），native F/2.8 中庸，低 TIR 风险方向对照。
US-12372756-B2-e8	tele	smartphone-telephoto	15.900	5	9.9705	2.450	tighten	1.800	US-12372756-B2-e8.zmx	15.9° 窄视场，native F/2.45，5 片。
US-12372756-B2-e8	tele	smartphone-telephoto	15.900	5	9.9705	2.450	tighten	2.000	US-12372756-B2-e8.zmx	15.9° 窄视场，native F/2.45，5 片。
US-12372756-B2-e8	tele	smartphone-telephoto	15.900	5	9.9705	2.450	loosen	2.950	US-12372756-B2-e8.zmx	15.9° 窄视场，native F/2.45，5 片。
US-12372756-B2-e8	tele	smartphone-telephoto	15.900	5	9.9705	2.450	loosen	3.450	US-12372756-B2-e8.zmx	15.9° 窄视场，native F/2.45，5 片。
US-12372756-B2-e8	tele	smartphone-telephoto	15.900	5	9.9705	2.450	loosen	4.000	US-12372756-B2-e8.zmx	15.9° 窄视场，native F/2.45，5 片。
US-20260160979-A1-e3	tele	smartphone-telephoto	19.000	8	13.4203	1.680	loosen	2.180	US-20260160979-A1-e3.zmx	19.0° 窄视场但 native F/1.68 极快（8 片）——罕见「窄视场+快光圈」组合，且 native F# 低于其 telephoto scenario 的 f_number_min(1.8)，收紧方向 band 内无候选（如实记录为空集，非 bug）。
US-20260160979-A1-e3	tele	smartphone-telephoto	19.000	8	13.4203	1.680	loosen	2.680	US-20260160979-A1-e3.zmx	19.0° 窄视场但 native F/1.68 极快（8 片）——罕见「窄视场+快光圈」组合，且 native F# 低于其 telephoto scenario 的 f_number_min(1.8)，收紧方向 band 内无候选（如实记录为空集，非 bug）。
US-20260160979-A1-e3	tele	smartphone-telephoto	19.000	8	13.4203	1.680	loosen	4.000	US-20260160979-A1-e3.zmx	19.0° 窄视场但 native F/1.68 极快（8 片）——罕见「窄视场+快光圈」组合，且 native F# 低于其 telephoto scenario 的 f_number_min(1.8)，收紧方向 band 内无候选（如实记录为空集，非 bug）。
US-11940597-B2-e6	tele	smartphone-telephoto	18.800	4	19.6731	3.570	tighten	1.800	US-11940597-B2-e6.zmx	18.8° 窄视场，native F/3.57（本矩阵最慢 F#），4 片最简单结构对照。
US-11940597-B2-e6	tele	smartphone-telephoto	18.800	4	19.6731	3.570	tighten	2.000	US-11940597-B2-e6.zmx	18.8° 窄视场，native F/3.57（本矩阵最慢 F#），4 片最简单结构对照。
US-11940597-B2-e6	tele	smartphone-telephoto	18.800	4	19.6731	3.570	loosen	4.000	US-11940597-B2-e6.zmx	18.8° 窄视场，native F/3.57（本矩阵最慢 F#），4 片最简单结构对照。
